epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7478911280632019,0.8664336800575256,1.9361460208892822,1e-04,0.9401650428771973,0.7055484056472778,0.5,0.5,3.7774598598480225,0.5,1.0
1,0.8412576913833618,0.9279990792274475,1.7755792140960693,1e-04,0.9671880006790161,0.8139354586601257,0.5,0.5,5.700428485870361,0.5,1.0
2,0.8719325065612793,0.9426714181900024,1.701415777206421,1e-04,0.9720341563224792,0.8521290421485901,0.5,0.5,6.88043737411499,0.5,1.0
3,0.8788343667984009,0.9501742720603943,1.6501188278198242,1e-04,0.9690483212471008,0.8645161390304565,0.5,0.5,5.771971702575684,0.5,1.0
4,0.889762282371521,0.9583369493484497,1.5932623147964478,1e-04,0.9719679355621338,0.876903235912323,0.5,0.5,5.895925998687744,0.5,1.0
5,0.8987730145454407,0.9633095264434814,1.5461983680725098,1e-04,0.9688988327980042,0.8923870921134949,0.5,0.75,4.476123332977295,0.5,1.0
6,0.9058665633201599,0.9713424444198608,1.491377592086792,5e-05,0.9758155345916748,0.8954838514328003,0.5,0.5,6.22501277923584,0.5,1.0
7,0.9158359169960022,0.97084641456604,1.474028468132019,5e-05,0.9801565408706665,0.9050322771072388,0.5,0.8125,3.8059635162353516,0.5,1.0
8,0.9148772954940796,0.9738675355911255,1.4480133056640625,5e-05,0.9758668541908264,0.9078709483146667,0.5,0.5,5.313688278198242,0.5,1.0
9,0.9246549010276794,0.9779008030891418,1.4141919612884521,5e-05,0.9798787236213684,0.9174193739891052,0.5,0.5,4.932094573974609,0.5,1.0
10,0.9240797758102417,0.9772871136665344,1.3960680961608887,5e-05,0.9793331623077393,0.9171612858772278,0.5,0.5,6.0168232917785645,0.5,1.0
