epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8611963391304016,0.9452338218688965,0.29772648215293884,1e-05,0.9721306562423706,0.8371613025665283,0.5,0.5,44.411216735839844,0.0,0.0
1,0.8682898879051208,0.953376054763794,0.27702364325523376,1e-05,0.9752534031867981,0.8441290259361267,0.5,0.5,16.198667526245117,0.5,1.0
2,0.8738496899604797,0.9558797478675842,0.270072877407074,1e-05,0.9718392491340637,0.8549677133560181,0.5,0.5,32.94304275512695,0.5,1.0
3,0.8893788456916809,0.9625904560089111,0.24898570775985718,1e-05,0.9760392904281616,0.8725161552429199,0.5,0.5,9.311306953430176,0.5,1.0
4,0.891487717628479,0.9651206135749817,0.23941388726234436,1e-05,0.977489173412323,0.8740645051002502,0.5,0.5,29.4931640625,0.5,1.0
5,0.8863113522529602,0.9607421159744263,0.2535906732082367,1e-05,0.9729106426239014,0.8712258338928223,0.5,0.5,28.140544891357422,0.0,0.0
6,0.8932132124900818,0.9671841859817505,0.23208729922771454,1e-05,0.9800347089767456,0.8740645051002502,0.5,0.5,40.34095764160156,0.5,1.0
7,0.8987730145454407,0.9672634601593018,0.23139403760433197,1e-05,0.9771884679794312,0.8843870759010315,0.5,0.5,8.365754127502441,0.5,1.0
8,0.8989647030830383,0.9705792665481567,0.22034843266010284,1e-05,0.9821428656578064,0.8799999952316284,0.5,0.5,28.592025756835938,0.5,1.0
9,0.8958972096443176,0.9659836888313293,0.23460769653320312,1e-05,0.9738339185714722,0.8836129307746887,0.5,0.5,9.739697456359863,0.0,0.0
10,0.9024156332015991,0.9712717533111572,0.21578572690486908,1e-05,0.9797605276107788,0.8869677186012268,0.5,0.5,43.129886627197266,0.5,1.0
11,0.9049080014228821,0.9701840281486511,0.22012127935886383,1e-05,0.9776647090911865,0.8923870921134949,0.5,0.5,41.34718322753906,0.5,1.0
12,0.9054831266403198,0.9712910056114197,0.2152123749256134,1e-05,0.978223979473114,0.8926451802253723,0.5,0.5,40.52934265136719,0.5,1.0
13,0.9026073813438416,0.9714659452438354,0.21415205299854279,5e-06,0.9773178100585938,0.8895483613014221,0.5,0.5,5.609433650970459,0.0,0.0
14,0.9100843667984009,0.9723460674285889,0.21030336618423462,5e-06,0.9781022071838379,0.8990967869758606,0.5,0.859375,2.292433261871338,0.0,0.0
15,0.9162193536758423,0.9720760583877563,0.208538219332695,5e-06,0.9804360270500183,0.9052903056144714,0.5,0.5,34.617835998535156,0.5,1.0
16,0.90625,0.9726269245147705,0.20916004478931427,5e-06,0.9760967493057251,0.8957419395446777,0.6875,0.8984375,0.8355287313461304,0.6153846383094788,1.0
17,0.9081671833992004,0.9756057858467102,0.20080438256263733,5e-06,0.9791196584701538,0.8954838514328003,0.5,0.5,22.194828033447266,0.5,1.0
18,0.9106594920158386,0.9740071296691895,0.2048618048429489,5e-06,0.9783890247344971,0.8996129035949707,0.5,0.5,17.115100860595703,0.0,0.0
19,0.9144938588142395,0.974442183971405,0.202834352850914,5e-06,0.9787768721580505,0.9045161008834839,0.5,0.5,22.090375900268555,0.5,1.0
20,0.9131518602371216,0.9766238927841187,0.1961398869752884,5e-06,0.9771332740783691,0.9042580723762512,0.5,0.7734375,2.46602725982666,0.0,0.0
21,0.9169861674308777,0.9764258861541748,0.19382065534591675,5e-06,0.9801897406578064,0.9065806269645691,0.5,0.5625,4.597229957580566,0.5,1.0
22,0.9177530407905579,0.9759880900382996,0.19620832800865173,2.5e-06,0.9799442887306213,0.9078709483146667,0.5,0.9375,0.8379837274551392,0.0,0.0
23,0.9190950989723206,0.9764055013656616,0.1939316838979721,2.5e-06,0.9813214540481567,0.9083871245384216,0.5,0.5,9.952177047729492,0.5,1.0
24,0.9189033508300781,0.976830780506134,0.1923607736825943,2.5e-06,0.9789122939109802,0.9104515910148621,0.5,0.5,13.674233436584473,0.5,1.0
25,0.9160276055335999,0.9765987992286682,0.19447696208953857,2.5e-06,0.9782910943031311,0.907096803188324,0.5,0.8125,2.12554931640625,0.0,0.0
26,0.915069043636322,0.975616991519928,0.19650466740131378,2.5e-06,0.9790619611740112,0.9050322771072388,0.5,0.5,10.855642318725586,0.0,0.0
